alpha,attackN1,attackN2,attackN3
0.7676767676767676,7.501099866891277e-5,0.31859889336447794,0.7749100443690912
0.7777777777777778,7.392130593399477e-5,0.31425482625828444,0.7722598802494085
0.7878787878787878,7.286137179307813e-5,0.3100473592758369,0.7696453662759821
0.797979797979798,7.183035477250565e-5,0.3059779867849325,0.7670711886068051
0.8080808080808081,7.082743762381385e-5,0.30204797496046154,0.7645384699699229
0.8181818181818182,6.985182655353042e-5,0.2982583605774083,0.762048298255163
0.8282828282828283,6.890275045294466e-5,0.29460995107484067,0.7596017245440722
0.8383838383838383,5.900094669749017e-5,0.2911033258928269,0.7571997612371513
0.8484848484848485,5.824715448706711e-5,0.2877388390699469,0.7548475536549435
0.8585858585858586,5.751186484483173e-5,0.2845166230736236,0.7525381335864727
