alpha,res1,res2,res3,res4
0.2828282828282828,0.9568107545480136,0.9331531538113474,0.9080116329710469,0.8812778610470783
0.29292929292929293,0.955778568239754,0.9314666075352812,0.9055695692589927,0.8779688986163041
0.30303030303030304,0.9547821391994582,0.9298299133744885,0.9031887231822415,0.8747293559793489
0.31313131313131315,0.9538214644040126,0.9282431095801998,0.9008692376404309,0.871559563824636
0.32323232323232326,0.9528965329272526,0.9267062187207598,0.8986112315578634,0.8684598223536583
0.3333333333333333,0.9520073259520345,0.9252192476461084,0.8964147996483268,0.865430400594542
0.3434343434343434,0.9511538167910041,0.9237821874769946,0.8942800122270702,0.8624715357812556
0.35353535353535354,0.9503359709160124,0.9223950136189578,0.8922069150707972,0.8595834328017515
0.36363636363636365,0.9495537459961005,0.92105768580103,0.8901955293263277,0.8567662637180046
0.37373737373737376,0.9488070919439572,0.9197701481390141,0.8882458514683528,0.8540201673605424
0.3838383838383838,0.948095950970729,0.9185323292231057,0.88635785330648,0.8513452489996874
0.3939393939393939,0.9474202576490472,0.917344142229543,0.884531482041534,0.8487415800953163
0.40404040404040403,0.9467799389841085,0.9162054850558736,0.8827666603708539,0.8462091981265228
0.41414141414141414,0.9461749144926306,0.9151162404793534,0.8810632866420959,0.8437481065021262
0.42424242424242425,0.9456050962894896,0.9140762763379044,0.8794212350548275,0.8413582745525272
0.43434343434343436,0.9450703891818195,0.9130854457329873,0.8778403559089881,0.8390396376029554
0.4444444444444444,0.9445706907703421,0.9121435872536721,0.8763204758990738,0.8367920971276971
0.45454545454545453,0.9441058915576821,0.9112505252211134,0.8748613984527089,0.8346155209844551
0.46464646464646464,0.9436758750634061,0.9104060699525901,0.8734629041120762,0.8325097437275315
0.47474747474747475,0.9432805179455028,0.9096100180441952,0.8721247509565004,0.8304745669981213
0.48484848484848486,0.9429196901280237,0.908862152671217,0.870846675064317,0.8285097599895705
0.494949494949495,0.9425932549345813,0.9081622439052084,0.8696283910120106,0.8266150599850819
0.5050505050505051,0.9423010692273961,0.9075100490466944,0.8684695924084692,0.8247901729649718
0.5151515151515151,0.9420429835515717,0.9069053129724364,0.8673699524620908,0.823034774280256
0.5252525252525253,0.9418188422842777,0.9063477684961434,0.8663291245783732,0.8213485093890238
0.5353535353535354,0.9416284837885027,0.9058371367414962,0.8653467429855338,0.819730994651797
0.5454545454545454,0.9414717405710451,0.9053731275263368,0.8644224233856517,0.8181818181818181
0.5555555555555556,0.9413484394443976,0.9049554397568595,0.8635557636287516,0.8167005407460202
0.5656565656565656,0.9412584016921862,0.9045837618306429,0.8627463444072536,0.8152866967122545
