alpha,R1,R2,R3
0.5454545454545454,0.8993139760777789,1.284734251539684,1.862864664732542
0.5555555555555556,0.8950744820350227,1.2786778314786038,1.8540828556439757
0.5656565656565656,0.8909433502139236,1.2727762145913193,1.845525511157413
0.5757575757575758,0.886920344406147,1.2670290634373529,1.8371921419841615
0.5858585858585859,0.8830051600945035,1.2614359429921478,1.8290821173386143
0.5959595959595959,0.8791974254197905,1.2559963220282722,1.8211946669409946
0.6060606060606061,0.8754967023532154,1.2507095747903079,1.8135288834459462
0.6161616161616161,0.8719024880658532,1.245574982951219,1.8060837252792674
0.6262626262626263,0.868414216485283,1.2405917378361186,1.798858019862372
0.6363636363636364,0.865031260028353,1.2357589428976472,1.7918504672015882
0.6464646464646465,0.8617529314979699,1.2310756164256713,1.7850596438172235
0.6565656565656566,0.8585784861309074,1.2265406944727248,1.7784840069854508
0.6666666666666666,0.8555071237828792,1.2221530339755418,1.7721218992645353
0.6767676767676768,0.8525379912365342,1.2179114160521916,1.765971553275678
0.6868686868686869,0.8496701846176015,1.2138145494537163,1.7600310967078887
0.696969696969697,0.846902751904151,1.209861074148787,1.7542985575157413
0.7070707070707071,0.8442346955138267,1.2060495650197522,1.748771869278641
0.7171717171717171,0.8416649749539395,1.202378535648485,1.7434488766903034
0.7272727272727273,0.8391925095195072,1.1988464421707246,1.7383273411475506
0.7373737373737373,0.8368161810246276,1.1954516871780394,1.7334049464081571
0.7474747474747475,0.8345348365530199,1.1921926236471712,1.7286793042883983
0.7575757575757576,0.8323472912141122,1.1890675588773032,1.7241479603720897
0.7676767676767676,0.8302523308916889,1.1860747584166984,1.7198083997042128
0.7777777777777778,0.8282487149728429,1.1832124499612042,1.715658052443746
0.7878787878787878,0.8263351790457617,1.180478827208231,1.7116942994519349
0.797979797979798,0.8245104375557216,1.1778720536510308,1.7079144777939947
0.8080808080808081,0.8227731864095501,1.1753902662993572,1.704315886134068
0.8181818181818182,0.8211221055197194,1.1730315793138848,1.700895790005133
0.8282828282828283,0.8195558612801683,1.1707940875430976,1.6976514269374916
0.8383838383838383,0.818073108966865,1.1686758699526643,1.6945800114313632
0.8484848484848485,0.8166724950570492,1.1666749929386417,1.6916787397610304
0.8585858585858586,0.8153526594619914,1.1647895135171307,1.6889447945998393
0.8686868686868687,0.8141122376689774,1.1630174823842534,1.6863753494571674
0.8787878787878788,0.8129498627890738,1.161356946841534,1.6839675729202241
0.8888888888888888,0.8118641675080294,1.159805953582899,1.6817186326952036
0.898989898989899,0.8108537859384254,1.1583625513406077,1.6796256994438812
0.9090909090909091,0.8099173553719009,1.15702479338843,1.6776859504132233
0.9191919191919192,0.8090535179309333,1.1557907399013332,1.6758965728569333
0.9292929292929293,0.8082609221202712,1.1546584601718162,1.6742547672491332
0.9393939393939394,0.8075382242786573,1.153626034683796,1.6727577502915043
0.9494949494949495,0.8068840899319902,1.1526915570457004,1.6714027577162653
0.9595959595959596,0.8062971950495147,1.151853135785021,1.6701870468882805
0.9696969696969697,0.8057762272050251,1.1511088960071787,1.669107899210409
0.9797979797979798,0.8053198866454102,1.1504569809220146,1.668162622336921
0.98989898989899,0.8049268872691637,1.1498955532416626,1.6673485522004106
1.0,0.8045959575177335,1.149422796453905,1.6666630548581622
